Data	km	litry	litry/100km	Cena litra	Razem	ile dni
2009-10-14	480	48,31		4,29		
2009-11-10	419,7	48,74		4,39		
2009-12-10	452	48,83		4,35		
2010-01-06	471,6	48,39		4,27		
2010-01-29	417,7	48,76		4,36		
2010-02-15	502,1	49,42		4,39		
2010-02-18	605,4	46,21		4,37		
2010-02-25	625,4	46,61		4,44		
2010-03-11	590,1	50,71		4,48		
2010-04-16	476,3	50,28		4,66		
2010-05-10	509,1	49,55		4,67		
2010-06-04	500,8	49,49		4,75		
2010-06-24	528,3	51,01		4,79		
2010-07-29	515,6	48,62		4,79		
2010-08-01	621,9	48,31		4,59		
2010-08-09	638,9	48,28		5,152		
2010-08-14	613,4	47,65		5,072		
2010-08-14	549,9	47,26		4,72		
2010-09-02	561,4	49,1		4,59		
2010-09-12	573,9	49,04		4,59		
2010-09-21	536,2	45,21		4,58		
2010-10-19	474,5	50,68		4,59		
2010-11-16	481,2	49,71		4,59		
2010-12-08	462,6	49,39		4,82		
2011-01-04	369,7	47,5		4,95		
2011-01-30	472,6	49,55		4,85		
2011-02-10	658	50,34		4,83		
2011-03-08	470,8	49,81		4,95		
2011-03-17	638,2	48,13		5,05		
2011-04-05	555,6	48,48		5,15		
2011-05-10	468,5	50,89		5,19		
2011-06-03	544,1	53,92		5,19		
2011-06-24	509,2	49,81		5,09		
2011-08-05	416,4	41,95		5,29		
2011-08-06	633,1	46,65		5,23		
2011-08-16	646,7	46,98		5,13		
2011-08-20	680,6	52,61		5,09		
2011-09-17	579,8	51,16		5,14		
2011-10-19	541,5	49,67		5,32		
2011-10-30	470,4	44,01		5,37		
2011-11-22	492,3	50		5,43		
2011-12-14	546,3	50,04		5,43		
2012-01-06	526,4	51,3		5,43		
2012-02-02	503,5	50,27		5,47		
2012-02-11	523,7	50,79		5,47		
2012-02-29	424,2	42,63		5,57		
2012-03-27	537,8	52,12		5,83		
2012-04-22	487,8	53,12		5,94		
2012-05-25	532,6	52,14		5,83		
2012-06-23	528,1	51,27		5,64		
2012-07-03	549,2	49,48		5,49		
2012-08-06	331,3	33,16		5,64		
2012-08-07	614,7	46,17		5,62		
2012-08-20	674,9	48,76		6,32		
2012-08-26	731	49,22		5,84		
2012-09-21	560,4	51,95		5,89		
2012-10-17	519,8	50,66		5,84		
2012-11-10	500	48,91		5,57		
2012-12-03	484,1	49,66		5,45		
2012-12-24	493,3	48,44		5,35		
2013-01-20	477,3	48,43		5,33		
2013-02-10	550,9	51,07		5,49		
2013-03-08	535,3	51,79		5,69		
2013-04-02	517,7	52,05		5,63		
2013-04-26	536,7	51,56		5,42		
2013-05-11	646,3	52,13		5,39		
2013-05-31	581,1	51,31		5,39		
2013-07-08	574,8	54,98		5,35		
2013-08-04	622,6	51,15		5,66		
2013-08-07	543,7	46,52		5,69		
2013-08-17	700,7	48,56		5,53		
2013-08-19	635,8	47,09		5,74		
2013-09-08	623,4	51,39		5,72		
2013-10-14	536,6	52,12		5,49		
2013-11-17	518,8	50,08		5,14		
2013-12-10	545,5	51,2		5,32		
2014-01-14	543,2	51,9		5,19		
2014-02-08	513,9	48,95		5,33		
2014-03-11	524,5	51,1		5,43		
2014-04-20	496,4	49,5		5,39		
2014-05-03	497,7	41,83		5,49		
2014-05-25	591,4	50,62		5,39		
2014-07-03	550,2	49,91		5,55		
2014-08-04	424,5	43,37		5,37		
2014-08-05	536	45,06		5,39		
2014-08-16	740	47,61		5,47		
2014-08-28	714,1	60,73		5,42		
2014-09-20	546,8	50,51		5,32		
2014-10-31	674,7	63,16		5,09		
2014-12-01	590,1	62,19		4,79		
2014-12-20	490	50,42		4,63		
2015-01-15	568,8	51		4,29		
2015-01-31	596	51,73		3,96		
2015-02-19	559,4	52,09		4,49		
2015-03-16	529,9	50,27		4,73		
2015-04-07	492,4	48,73		4,75		
2015-04-17	601,9	52,28		4,83		
2015-05-07	662,9	59,65		4,87		
2015-06-13	542,1	48,82		4,99		
2015-07-05	537,9	50,66		5,09		
2015-09-09	710,1	52,21		4,63		
2015-09-13	570	50,3		4,59		
2015-09-26	698,5	55,64		4,48		
2015-10-01	317,9	24,75		4,47		
2015-11-02	642,5	57,39		4,29		
2015-11-14	330,2	32,73		4,41		
2015-11-26	307	32,56		4,33		
2015-12-18	485,9	50,44		4,23		
2015-12-28	230,6	21,17		4,19		
2015-12-29	464,9	34,51		4,19		
2016-01-11	526,6	48,04		4,17		
2016-02-04	654,1	62,65		4,07		
2016-02-16	361,3	33,86		4,15		
2016-02-18	573,3	44,33		4,04		
2016-02-24	723,2	53,77		3,93		
2016-03-20	531,8	52,58		4,01		
2016-04-11	456,3	48,86		4,11		
2016-04-30	450,9	41,91		4,39		
2016-05-02	509,4	34,87		4,45		
2016-06-15	840,3	69,04		4,64		
2016-06-25	570,7	49,09		4,59		
2016-07-13	499	49,67		4,59		
2016-07-14	637,9	46,81		4,51		
2016-07-22	187,4	13,74		4,49		
2016-07-22	253,8	16,01		4,39		
2016-07-26	625,1	48,76		4,53		
2016-08-10	540	46,93		4,45		
2016-09-10	504,4	45,54		4,53		
2016-10-03	675	57,11		4,59		
2016-10-18	554,5	47,37		4,58		
2016-12-03	599,7	51,06		4,69		
2016-12-22	573,5	48,42		4,89		
2017-01-14	575,2	50,63		4,83		
2017-02-03	619	51,55		4,74		
2017-02-11	570,2	44,59		4,72		
2017-03-03	513,9	44,31		4,85		
2017-04-07	590,5	48,04		4,55		
2017-04-28	816,9	66,82		4,66		
2017-05-19	804,8	57,5		4,57		
2017-06-07	646,4	48,2		4,44		
2017-06-23	517,3	39,4		4,44		
2017-07-05	546,4	39,18		4,34		
2017-07-23	805,6	54,51		4,32		
2017-08-06	521,9	41,4		4,46		
2017-08-23	669,7	45,56		4,59		
2017-08-27	412,9	28,07		4,46		
2017-09-05	712,6	49,62		4,69		
2017-09-23	649,9	49,62		4,66		
2017-10-19	651	50,17		4,59		
2017-11-13	541,1	50,06		4,78		
2017-12-02	556,6	48,21		4,68		
2017-12-25	556,8	51,67		4,69		
2018-01-19	560,3	48,51		4,78		
2018-02-02	443,4	40		4,72		
2018-02-04	463	34,78		4,67		
2018-02-09	566	40,41		4,87		
2018-02-09	188,9	10,01		4,7		
2018-02-15	748	57,35		4,69		
2018-03-17	649,6	50,21		4,56		
2018-04-04	557,8	46,6		4,73		
2018-04-20	527,5	39,48		4,84		
2018-05-04	602,3	41,04		4,94		
2018-05-07	218,5	13,56		4,99		
2018-06-07	759,1	56,01		5,09		
2018-06-23	594,2	40,42		5,05		
2018-07-09	532,3	34,27		5,07		
2018-07-24	661,7	47,51		5,04		
2018-08-18	604	46,95		5,09		
2018-09-05	634,2	47,59		5,09		
2018-09-15	646,9	44,15		5,19		
2018-09-22	612,6	42,84		5,08		
2018-10-19	584,6	40,17		5,11		
2018-10-26	376,7	30,03		5,08		
2018-11-13	655,8	49,49		5,05		
2018-11-26	558,2	44,56		4,93		
2018-12-14	540,2	46,64		4,79		
2019-01-04	577,4	48,14		4,76		
2019-02-01	593	49,3		4,79		
2019-02-19	556,5	44,14		4,79		
2019-03-05	638,6	47,41		4,86		
2019-03-20	486,8	39,77		4,96		
2019-04-06	578	44,33		5,13		
2019-04-23	580,6	46,63		5,19		
2019-05-02	468,5	32,85		5,17		
2019-05-24	625	46,96		5,23		
2019-06-27	898,4	63,22		5,17		
2019-08-02	683,5	44,63		5,19		
2019-08-22	650,9	46,16		5,09		
2019-08-24	698,3	44,57		5,21		
2019-08-29	590,6	40,55		5,21		
2019-09-06	401,8	28,52		4,98		
2019-09-13	291,1	21,46		4,98		
2019-10-04	640,2	44,22		4,98		
2019-10-18	562,6	40,72		4,96		
2019-11-01	795,8	57,11		4,92		
2019-11-15	574,6	47,52		4,94		
2019-12-05	544,9	47,35		4,97		
2020-01-04	762	55,56		4,96		
2020-01-25	455,3	38,52		4,94		
2020-02-04	628,7	47,66		4,89		
2020-02-26	559,9	45,68		4,83		
2020-03-18	480,7	42,78		4,54		
